"","oktmo","year","region","municipality","settlement","latitude_dd","longitude_dd","assets","assets_depreciation","assets_exhausted","assets_new","birth","build_flat","catering","catering_growth","collective_foreign","collective_people","collective_russian","comp_electr","comp_manufact","comp_mining","construction","crimes","criminals","death","doctors","doctors_per10","domesticserv","hospital_beds","hospital_beds_per10","hospitals","industry","invest_budg","invest_fed","invest_reg","investment","job_regist","job_regist_unempl","job_seeker","job_seeker_unempl","living_space","migration","n_companies","new_hospital_beds","new_housing","new_polycl_visits","new_preschool_places","new_school_places","nurses","nurses_per10","pens","pension","polycl_visits","polycl_visits_per10","polyclinic","pop_1_6","pop_old","pop_work","pop_young","population","preschool","preschool_child","preschool_coverage","preschool_places","preschool_waiting","pupils","retail","retail_growth","rni","schools","servises","volume_electr","volume_manufact","volume_mining","volume_water","wage","workers","region_oktmo","t8013004","t8313004","t8016002","t8009001","t8109002","t8109001","t8008007","t8008008","t8008025","t8006003","t8112013","t8006007","t8014002","t8010001","t8015001","t8015002","t8013002_301","t8013002_1","t8013002_212","t8013002_220","t8013002_221","t8013002_229","t8013002_234","t8013002_239","t8013002_285","t8013002_434","t8013002_231","t8123015_12","t8123017_12","t8013001_1","t8013001_89","t8013001_34","t8013001_36","t8013001_27","t8011011_0","t8011010_0","t8112027_11","t8123007_0","t8423007_101","t8045002_21","t8045002_26","t8045002_27","t8006005_9","t8045002_0","t8042018_kfs14_okved0","t8942018_kfs14_okved2101","t8042018_kfs199_okved0","t8942018_kfs199_okved2101","model","share_profitable_firms","share_profitable_mun_firms","avg_wage","treatment","first.treat","index"
"1","10701000",1985,"Амурская область","Благовещенск","Благовещенск",50.2905555555556,127.527222222222,NA,NA,NA,NA,16.1,NA,0.023,NA,NA,NA,NA,NA,NA,NA,0.231,2165,1547,8.3,1927,96.7,0.011,4.2,209.9,16,0.389,22,NA,NA,0.171,NA,NA,NA,NA,14.3,NA,600,NA,112.5,NA,320,1568,2658,133.4,26.6,NA,3,142,17,NA,NA,NA,NA,199.3,73,14.5,NA,11.9,NA,24,NA,NA,7.8,28,NA,NA,NA,NA,NA,0.219,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","10701000",1990,"Амурская область","Благовещенск","Благовещенск",50.2905555555556,127.527222222222,NA,NA,NA,NA,15.4,NA,0.036,NA,NA,NA,NA,NA,NA,NA,0.246,3014,1466,7.5,2715,127.5,0.02,4.3,201.4,16,0.375,27.2,NA,NA,0.324,NA,NA,NA,NA,14.5,NA,993,NA,108.8,NA,280,1266,3754,176.2,29.1,NA,5.3,196,25,NA,NA,NA,NA,213.1,69,14,NA,11.6,NA,26.6,NA,NA,7.9,30,0.065,NA,NA,NA,NA,0.361,99.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","10701000",1995,"Амурская область","Благовещенск","Благовещенск",50.2905555555556,127.527222222222,NA,NA,NA,NA,10,NA,48.2,NA,NA,NA,NA,NA,NA,NA,280,3852,2248,11.6,2429,111.7,33.2,4.8,220.7,16,443.1,22.6,NA,NA,311.7,4291,3968,NA,NA,15.7,NA,4797,660,145.1,NA,0,0,3125,143.7,36.6,NA,6,276,27,NA,NA,NA,NA,217.4,57,9.7,NA,10.4,NA,28.5,NA,NA,-1.6,28,280.9,NA,NA,NA,NA,613.7,110.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","10701000",1996,"Амурская область","Благовещенск","Благовещенск",50.2905555555556,127.527222222222,NA,NA,NA,NA,10,NA,68.9,NA,NA,NA,NA,NA,NA,NA,324.5,4124,2267,11.5,2631,120.4,44.8,4.8,220.2,16,649.5,30.4,15.8,NA,315.2,2965,2858,NA,NA,16.4,NA,4990,0,88.6,NA,0,0,3248,148.6,38.1,NA,6,275,25,NA,NA,NA,NA,218.6,49,9.1,NA,8,NA,29.1,NA,NA,-1.5,28,368.4,NA,NA,NA,NA,932.2,110.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","10701000",1997,"Амурская область","Благовещенск","Благовещенск",50.2905555555556,127.527222222222,NA,NA,NA,NA,9.3,NA,95.5,NA,NA,NA,NA,NA,NA,NA,378.3,4083,2118,10.5,2784,126.2,53.4,4.8,217.7,16,721.1,26,13.2,NA,334.3,1639,1451,NA,NA,16.6,NA,5206,0,45,NA,0,150,3246,147.1,39.4,NA,5.7,257,27,NA,NA,NA,NA,220.6,49,8.8,NA,8.1,NA,29.6,NA,NA,-1.2,28,443.1,NA,NA,NA,NA,1224.5,83.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","10701000",1998,"Амурская область","Благовещенск","Благовещенск",50.2905555555556,127.527222222222,NA,NA,NA,NA,9.3,NA,103.2,NA,NA,NA,NA,NA,NA,NA,323.9,3905,2129,9.7,2842,127.4,53.6,4.8,214.7,16,700.7,17.5,10,NA,221.7,2023,1967,NA,NA,16.8,NA,5240,0,63.3,750,0,0,3313,148.6,40.4,NA,6.5,290,27,NA,NA,NA,NA,223,46,8.2,NA,6.8,NA,30.1,NA,NA,-0.4,30,482.8,NA,NA,NA,NA,1215.7,71.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","10701000",1999,"Амурская область","Благовещенск","Благовещенск",50.2905555555556,127.527222222222,NA,NA,NA,NA,9.3,NA,150,NA,NA,NA,NA,NA,NA,NA,394.1,5349,2805,10.5,2825,126.1,51,4.7,210.8,15,1020.8,19.9,6.6,NA,259.7,1420,1370,NA,NA,17.9,NA,5477,0,44.1,0,0,0,3377,150.8,41.3,NA,6.5,289,27,NA,NA,NA,NA,224,44,7.8,NA,6.3,NA,28.7,5179,NA,-1.2,28,668.4,NA,NA,NA,NA,1546.1,73.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","10701000",2000,"Амурская область","Благовещенск","Благовещенск",50.2905555555556,127.527222222222,NA,NA,NA,NA,9.8,NA,170.1,NA,NA,NA,NA,NA,NA,NA,458.9,5118,3028,11,2841,126.9,72.1,4.7,210.9,15,1263.4,17.3,8.1,NA,484.5,1256,1189,NA,NA,18.1,NA,5802,0,46.4,150,0,1296,3407,152.2,42.2,NA,6.5,292,27,NA,NA,NA,NA,223.9,43,7.6,NA,6.6,NA,28.4,6265,NA,-1.2,31,898.3,NA,NA,NA,NA,2155.6,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","10701000",2001,"Амурская область","Благовещенск","Благовещенск",50.2905555555556,127.527222222222,NA,NA,NA,NA,10,NA,206,NA,NA,NA,NA,NA,NA,NA,489.3,5249,2884,11.2,2827,126.6,101,4.8,214.4,15,1981,23.3,13.9,NA,663.5,985,895,NA,NA,18.3,NA,6124,0,49.3,0,0,0,3567,159.7,43.3,NA,6.5,291,27,NA,NA,NA,NA,223.3,41,7.6,NA,6.4,NA,27.6,7649,NA,-1.2,31,1273.9,NA,NA,NA,NA,2962.4,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","10701000",2002,"Амурская область","Благовещенск","Благовещенск",50.2905555555556,127.527222222222,NA,NA,NA,NA,10.7,754,296.9,NA,NA,NA,NA,NA,NA,NA,1492.8,4232,2565,11.8,2894,130.3,158.5,4.7,212.9,15,2221.3,25.2,12.9,NA,1362.7,1165,1079,NA,NA,18.7,NA,6530,0,63.7,0,0,0,3679,165.6,43.5,1524.2,6.5,294.6,31,NA,NA,NA,NA,219.2,41,7.8,NA,6.3,NA,26.2,9907,NA,-1.1,31,2053.4,NA,NA,NA,NA,4374.4,80.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
