"","Всего учрежедний","Общая информация","Информация о госзадании","Показатели качества услуг","Показатели объёма услуг","Информация о ПФХД или показателях бюджетной сметы","Общий Рейтинг","year","municipality_matched","region_matched","oktmo","region","municipality","settlement","latitude_dd","longitude_dd","assets","assets_depreciation","assets_exhausted","assets_new","birth","build_flat","catering","catering_growth","collective_foreign","collective_people","collective_russian","comp_electr","comp_manufact","comp_mining","construction","crimes","criminals","death","doctors","doctors_per10","domesticserv","hospital_beds","hospital_beds_per10","hospitals","industry","invest_budg","invest_fed","invest_reg","investment","job_regist","job_regist_unempl","job_seeker","job_seeker_unempl","living_space","migration","n_companies","new_hospital_beds","new_housing","new_polycl_visits","new_preschool_places","new_school_places","nurses","nurses_per10","pens","pension","polycl_visits","polycl_visits_per10","polyclinic","pop_1_6","pop_old","pop_work","pop_young","population","preschool","preschool_child","preschool_coverage","preschool_places","preschool_waiting","pupils","retail","retail_growth","rni","schools","servises","volume_electr","volume_manufact","volume_mining","volume_water","wage","workers","region_oktmo","t8013004","t8313004","t8016002","t8009001","t8109002","t8109001","t8008007","t8008008","t8008025","t8006003","t8020002","t8313015","t8112013","t8006007","t8014002","t8010001","t8015001","t8015002","t8013002_301","t8013002_1","t8013002_212","t8013002_220","t8013002_221","t8013002_229","t8013002_234","t8013002_239","t8013002_285","t8013002_434","t8013002_231","t8123015_12","t8123017_12","t8013001_1","t8013001_89","t8013001_34","t8013001_36","t8013001_27","t8013001_5","t8013001_294","t8013001_293","t8013001_296","t8011011_0","t8011010_0","t8123015_0","t8123017_0","t8013001_15","t8013001_14","t8112027_11","t8123007_0","t8423007_101","t8045002_21","t8045002_26","t8045002_27","t8006005_9","t8045002_0","t8042018_kfs14_okved0","t8942018_kfs14_okved2101","t8042005_kfs14_okved0","t8942005_kfs14_okved2101","t8042010_kfs14_okved0","t8942010_kfs14_okved2101","t8042001_kfs14_okved0","t8942001_kfs14_okved2101","t8042008_kfs14_okved0","t8942008_kfs14_okved2101","t8042007_kfs14_okved0","t8942007_kfs14_okved2101","t8042006_kfs14_okved0","t8942006_kfs14_okved2101","t8042009_kfs14_okved0","t8942009_kfs14_okved2101","t8042003_kfs14_okved0","t8942003_kfs14_okved2101","t8042018_kfs199_okved0","t8942018_kfs199_okved2101","t8042017_kfs199_okved0","t8942017_kfs199_okved2101","model","share_profitable_firms","share_unprofitable_firms","share_profitable_mun_firms","avg_wage","mun_debt","mun_debt_supl","mun_debt_gov","mun_debt_budg","mun_debt_bank","n_mun_firms_reported","mun_firms_profit","debt_to_mun_firms","treatment","first.treat","index"
"1",137,137,134,73,130,137,0.894200026988983,2012,"Ангарское","Иркутская область",25703000,"Иркутская область","Ангарский район","Ангарск",52.5441666666667,103.888055555556,113780,52.8,19.9,6622.8,13.3,421,189.3,108.6,NA,NA,NA,28,177,2,3542.4,5720,1606,14.1,1296,56,NA,2.6,112.8,9,NA,1.3,1.2,0,7690.3,NA,NA,1503,692,22.1,-997,4983,0,26,NA,0,0,2721,117.6,75.3,9578.3,6.8,292,20,16,53.5,139.2,38.7,231.3,77,13.6,NA,12,2525,NA,5730,148.4,-0.8,NA,NA,2759.6,52353.4,NA,NA,29770.9,61.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"2",136,136,132,38,128,135,0.838199973106384,2013,"Ангарское","Иркутская область",25703000,"Иркутская область","Ангарский район","Ангарск",52.5441666666667,103.888055555556,122027.7,53.7,22,8682.2,13.2,768,197.9,95.5,NA,NA,NA,28,177,3,2578.9,5462,1827,13.8,1275,55.5,NA,2.2,96.4,8,NA,1.1,0.1,0.5,24624.2,NA,NA,856,508,22.4,-1594,5148,0,41.7,NA,0,0,2635,114.8,75.7,10508.9,6.8,297.8,21,16.8,54.1,136.1,39.4,229.6,77,14.3,NA,12.2,1486,NA,9712.7,131.3,-0.6,NA,NA,3043.8,60589.8,NA,NA,33359.4,60.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"3",136,136,133,132,130,133,0.974300026893616,2014,"Ангарское","Иркутская область",25703000,"Иркутская область","Ангарский район","Ангарск",52.5441666666667,103.888055555556,97705,60.2,27.5,5134.6,13.2,680,76,36.5,NA,NA,NA,27,184,3,2900.3,5014,1916,14.2,1251,55,NA,2.1,91.9,8,NA,1.8,0.2,0.8,18820,NA,NA,725,510,22.8,-1837,5255,0,48.1,NA,0,NA,2656,116.7,75.8,11451.9,7.7,340.1,19,17.1,54.7,132.7,40.1,227.5,85,14.4,NA,12.1,NA,NA,11506.1,98,-1,NA,NA,3213.3,64405.1,NA,NA,36318.9,57.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"4",136,136,133,128,128,133,0.965399980545044,2015,"Ангарское","Иркутская область",25703000,"Иркутская область","Ангарский район","Ангарск",52.5441666666667,103.888055555556,89234.7,57.6,29.5,8200.5,14.3,302,88.4,103.3,418,19263,18845,27,182,3,1449.9,5234,1947,13.9,1046,46.1,NA,1.9,84.7,8,NA,1.7,0.4,0.4,17271.1,NA,NA,1303,1033,22.9,-813,5592,0,25.8,NA,240,0,2205,97.2,76.3,12721.4,6.5,288.7,25,17.3,55.3,130.1,41.4,226.8,87,15.4,NA,12.8,NA,NA,11157.4,85.9,0.4,NA,NA,3663.2,70589.4,NA,NA,38856.3,59.7,25,1.2,1.2,203,549188,239620,17279867,357200,288300,900,276.1,NA,88.6,239225,414.9,13512,22031.8,42,26280,NA,5087648.1,396077.9,27305.6,452066.1,372253.4,358774.7,219256.4,252614,282034.4,2957641.5,543,47003,4847723.6,2846930.6,2325986.7,2259858,214324.7,1599932,2000793,2074.4,231060.6,2086,134,9252,24296.3,4044787,125517.2,NA,38990.9,NA,11467862,828058,103475,414.9,NA,NA,NA,NA,NA,NA,NA,-28019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Избираемый мэр",NA,NA,NA,38990.9,NA,NA,NA,NA,NA,NA,-28019,NA,0,0,0.280445292743647
"5",136,136,131,130,127,134,0.968400001525879,2016,"Ангарское","Иркутская область",25703000,"Иркутская область","Ангарский район","Ангарск",52.5441666666667,103.888055555556,89392.2,61.4,33.5,3290.8,13.6,854,143.7,113.1,220,20509,20289,NA,NA,NA,1952.2,4136,1723,13.3,1135,50.1,NA,1.9,84.4,8,NA,3.1,0.3,0.8,9673.9,NA,NA,1029,724,23.1,-485,5208,NA,56.6,NA,220,0,2414,106.6,76.8,13104.7,7.3,321.3,25,17.7,55.8,128.1,42.4,226.4,82,15.6,NA,12.7,NA,NA,11549.5,95.5,0.3,NA,NA,3172,57448.3,NA,NA,40875.5,56.7,25,1040.5,1040.5,203,469481,349822,9718379,447010,284300,120,221.6,NA,90,238692,454.3,13412,56618,42,26280,NA,4983992.6,314273.2,27182.1,632026.5,210346,301932,191340.3,429054,291628,2994529.3,506,44927.8,4520444,2479298.4,2288642.2,2294468.5,296687.4,1078362,2041145.6,NA,238863,2257,118,9060,23944.3,4991001,128443.1,238875,41307.6,NA,12970304,548182,84967,454.3,18744318,66.67,NA,324173,NA,6,NA,18261,NA,109612,NA,16970,NA,33175,NA,2833,NA,420618,NA,83.64,NA,16.36,NA,"Избираемый мэр",83.64,16.36,66.67,41307.6,324173,109612,16970,33175,2833,6,18261,420618,0,0,0.26334200452023
"6",135,135,131,131,127,133,0.973299980163574,2017,"Ангарское","Иркутская область",25703000,"Иркутская область","Ангарский район","Ангарск",52.5441666666667,103.888055555556,93172.5,63.9,35.5,3743,11.7,351,247.8,148.5,151,21783,21632,NA,NA,NA,2969.9,4203,1979,13.6,1135,50.3,NA,1.9,82.9,8,NA,14.2,7.1,4,8627.6,726,550,726,550,23.2,-170,4699,NA,25.3,NA,0,0,2395,106.1,76.8,13699.5,7.2,316.7,25,18.1,56.2,126.6,43,225.8,82,16003,NA,13040,NA,NA,11786.6,99.6,-1.9,NA,NA,2957.6,61486.1,40.4,1162.7,43077.5,55.4,25,1081.8,1081.8,189,1216987,1272771,8752419,447010,321650,350,279.6,NA,65.4,238254,459.7,13713,25259,42,27692,NA,6138547,339554.4,27687.9,908595.9,307495.3,252912.9,187006.9,504999.7,219993,3848726.6,NA,NA,5976245.1,3817196.2,3480386.2,3463511.5,299311.6,1146557.2,2159048.9,NA,1184217.9,2073,167,NA,NA,577452.7,261628.5,238508,NA,43217.9,17124478,557518,81250,459.7,18760279,NA,100,NA,142133,NA,4,NA,42324,NA,80975,NA,NA,NA,28322,NA,NA,NA,239710,NA,83,NA,17,"Избираемый мэр",83,17,100,43217.9,142133,80975,NA,28322,NA,4,42324,239710,0,0,0.25545067868024
"7",137,137,134,97,129,137,0.927699983119965,2018,"Ангарское","Иркутская область",25703000,"Иркутская область","Ангарский район","Ангарск",52.5441666666667,103.888055555556,122494.7,66.7,35.1,4522,10.8,344,271.4,105.7,210,25931,25621,NA,NA,NA,2620.4,NA,NA,13.2,1088,48.3,NA,1.7,76.7,8,NA,5.7,0.2,3,16494.2,853,590,NA,NA,23.3,248,4469,NA,25.9,NA,0,0,2318,102.8,77.2,14158.7,7.3,323.4,25,17.8,56.8,125.5,43.1,225.5,NA,16156,NA,13020,NA,NA,13904.1,114.6,-2.4,NA,NA,3275.4,62343.1,127.7,1169.7,47248.3,53.9,25,1127.9,1127.9,NA,726669,954317,16600302,451000,310650,350,277.1,NA,76.8,237857,415,13692,25854,NA,NA,NA,6174147.9,368537.1,28851.3,678326.5,277062.1,243361.6,205828.4,504395.2,195219.7,4115161.5,NA,NA,5960828.9,3384509.4,3360544.1,3361233.4,284113.7,1232292.5,2576319.5,NA,672208.2,2103,45,NA,NA,586925.7,275713.4,238001,NA,47401.3,12825384,NA,83272,468.1,19443610,NA,80,NA,135706,NA,5,NA,1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,206975,NA,84.8,NA,15.2,"Избираемый мэр",84.8,15.2,80,47401.3,135706,NA,NA,NA,NA,5,1934,206975,0,0,0.249949008447523
"8",68,68,68,60,62,68,0.95880001783371,2012,"Артемовский","Приморский край",5705000,"Приморский край","Артёмовский","Артем",43.3622222222222,132.181388888889,20620.8,27.9,9.1,7003.3,13.3,448,189.4,770,NA,NA,NA,10,42,3,1533.6,3490,878,14.4,379,33.9,NA,1.3,119.4,4,NA,10.1,2.1,5,7583.5,NA,NA,404,304,19.7,-245,2445,0,30.9,0,0,0,511,45.7,35.2,9153.5,2.3,202.9,13,7.5,25.2,68.5,18.2,111.9,26,5.4,NA,5,972,NA,4669.9,190,-1.1,NA,NA,4313.7,6154,418.1,NA,28025,19.6,5,NA,931,177,646683,NA,NA,179400,137700,1200,54.9,NA,42.2,112102,362,4996,30863,25,10627,104341,2289460,200357,18431,213411,631582,43003,84000,120473,244282,844235,263,36802.4,2311222,1958953,1061856,1055527,88456,732587,352269,7967,615015,3360,47,NA,NA,120490,96021,112285,27644,NA,1225008,82896,17153,361.9,1442037,75,NA,5249,NA,4,NA,-2082,NA,3250,NA,301,NA,1420,NA,NA,NA,1148,NA,70,NA,30,NA,"Избираемый мэр",70,30,75,27644,5249,3250,301,1420,NA,4,-2082,1148,0,2016,0.522629884833348
"9",62,62,53,37,43,57,0.811299979686737,2012,"Артемовский","Приморский край",5705000,"Приморский край","Артёмовский","Артем",43.3622222222222,132.181388888889,20620.8,27.9,9.1,7003.3,13.3,448,189.4,770,NA,NA,NA,10,42,3,1533.6,3490,878,14.4,379,33.9,NA,1.3,119.4,4,NA,10.1,2.1,5,7583.5,NA,NA,404,304,19.7,-245,2445,0,30.9,0,0,0,511,45.7,35.2,9153.5,2.3,202.9,13,7.5,25.2,68.5,18.2,111.9,26,5.4,NA,5,972,NA,4669.9,190,-1.1,NA,NA,4313.7,6154,418.1,NA,28025,19.6,5,NA,931,177,646683,NA,NA,179400,137700,1200,54.9,NA,42.2,112102,362,4996,30863,25,10627,104341,2289460,200357,18431,213411,631582,43003,84000,120473,244282,844235,263,36802.4,2311222,1958953,1061856,1055527,88456,732587,352269,7967,615015,3360,47,NA,NA,120490,96021,112285,27644,NA,1225008,82896,17153,361.9,1442037,75,NA,5249,NA,4,NA,-2082,NA,3250,NA,301,NA,1420,NA,NA,NA,1148,NA,70,NA,30,NA,"Избираемый мэр",70,30,75,27644,5249,3250,301,1420,NA,4,-2082,1148,0,2016,0.522629884833348
"10",68,68,64,56,59,68,0.932399988174438,2013,"Артемовский","Приморский край",5705000,"Приморский край","Артёмовский","Артем",43.3622222222222,132.181388888889,33676.5,21.6,5.6,3701.1,12.9,1133,723.5,370,NA,NA,NA,10,57,3,1151.7,3621,938,14.7,374,33.4,NA,1.3,113.9,4,NA,39.5,15.7,16.6,1884.3,NA,NA,299,230,20.2,119,2497,0,66.5,0,0,0,530,47.4,35.6,10022.8,2.4,212,13,7.8,25.7,67.6,18.6,111.8,26,5.6,NA,5,505,NA,5007.3,101.1,-1.8,NA,NA,4267.3,7082.7,511.1,NA,33264.1,20.5,5,NA,1001.6,130,382225,387565,1842389,189600,134300,4100,54.9,NA,53.1,111880,362,5024,66450,25,10834,NA,2225781.8,203135.9,17715.1,200812.8,383780.4,42208.1,86132.9,91967.1,132827.4,1140795.8,267,39718,2067466.5,1658707.7,801601.3,801039.6,136617.5,679091.2,408758.8,2108,296903,3437,147,NA,NA,141331.6,84161.4,111919,32321.3,NA,931459,131000,21266,361.9,NA,66.67,NA,2019,NA,3,NA,8,NA,334,NA,112,NA,1430,NA,440,NA,445,NA,68.97,NA,31.03,NA,"Избираемый мэр",68.97,31.03,66.67,32321.3,2019,334,112,1430,440,3,8,445,0,2016,0.486807914542592
