"","region","oktmo","year","index"
"1","Алтайский край",1,"2006",1
"2","Амурская область",10,"2006",1
"3","Архангельская область",11,"2006",1
"4","Астраханская область",12,"2006",1
"5","Белгородская область",14,"2006",1
"6","Брянская область",15,"2006",1
"7","Владимирская область",17,"2006",1
"8","Волгоградская область",18,"2006",1
"9","Вологодская область",19,"2006",1
"10","Воронежская область",20,"2006",1
"11","Город Москва столица Российской Федерации город федерального значения",45,"2006",1
"12","Город Санкт-Петербург город федерального значения",40,"2006",1
"13","Еврейская автономная область",99,"2006",1
"14","Забайкальский край",76,"2006",1
"15","Ивановская область",24,"2006",1
"16","Иркутская область",25,"2006",1
"17","Кабардино-Балкарская Республика",83,"2006",1
"18","Калининградская область",27,"2006",1
"19","Калужская область",29,"2006",1
"20","Камчатский край",30,"2006",1
"21","Карачаево-Черкесская Республика",91,"2006",1
"22","Кемеровская область - Кузбасс",32,"2006",1
"23","Кировская область",33,"2006",1
"24","Костромская область",34,"2006",1
"25","Краснодарский край",3,"2006",1
"26","Красноярский край",4,"2006",1
"27","Курганская область",37,"2006",1
"28","Курская область",38,"2006",1
"29","Ленинградская область",41,"2006",1
"30","Липецкая область",42,"2006",1
"31","Магаданская область",44,"2006",1
"32","Московская область",46,"2006",1
"33","Мурманская область",47,"2006",1
"34","Нижегородская область",22,"2006",1
"35","Новгородская область",49,"2006",1
"36","Новосибирская область",50,"2006",1
"37","Омская область",52,"2006",1
"38","Оренбургская область",53,"2006",1
"39","Орловская область",54,"2006",1
"40","Пензенская область",56,"2006",1
"41","Пермский край",57,"2006",1
"42","Приморский край",5,"2006",1
"43","Псковская область",58,"2006",1
"44","Республика Адыгея (Адыгея)",79,"2006",1
"45","Республика Алтай",84,"2006",1
"46","Республика Башкортостан",80,"2006",1
"47","Республика Бурятия",81,"2006",1
"48","Республика Дагестан",82,"2006",1
"49","Республика Ингушетия",26,"2006",1
"50","Республика Калмыкия",85,"2006",1
"51","Республика Карелия",86,"2006",1
"52","Республика Коми",87,"2006",1
"53","Республика Марий Эл",88,"2006",1
"54","Республика Мордовия",89,"2006",1
"55","Республика Саха (Якутия)",98,"2006",1
"56","Республика Северная Осетия-Алания",90,"2006",1
"57","Республика Татарстан (Татарстан)",92,"2006",1
"58","Республика Тыва",93,"2006",1
"59","Республика Хакасия",95,"2006",1
"60","Ростовская область",60,"2006",1
"61","Рязанская область",61,"2006",1
"62","Самарская область",36,"2006",1
"63","Саратовская область",63,"2006",1
"64","Сахалинская область",64,"2006",1
"65","Свердловская область",65,"2006",1
"66","Смоленская область",66,"2006",1
"67","Ставропольский край",7,"2006",1
"68","Тамбовская область",68,"2006",1
"69","Тверская область",28,"2006",1
"70","Томская область",69,"2006",1
"71","Тульская область",70,"2006",1
"72","Тюменская область",71,"2006",1
"73","Удмуртская Республика",94,"2006",1
"74","Ульяновская область",73,"2006",1
"75","Хабаровский край",8,"2006",1
"76","Челябинская область",75,"2006",1
"77","Чеченская Республика",96,"2006",1
"78","Чувашская Республика - Чувашия",97,"2006",1
"79","Чукотский автономный округ",77,"2006",1
"80","Ярославская область",78,"2006",1
"81","Алтайский край",1,"2007",1.121
"82","Амурская область",10,"2007",1.0958
"83","Архангельская область",11,"2007",1.1285
"84","Астраханская область",12,"2007",1.1431
"85","Белгородская область",14,"2007",1.1233
"86","Брянская область",15,"2007",1.1438
"87","Владимирская область",17,"2007",1.1332
"88","Волгоградская область",18,"2007",1.1167
"89","Вологодская область",19,"2007",1.1265
"90","Воронежская область",20,"2007",1.1421
"91","Город Москва столица Российской Федерации город федерального значения",45,"2007",1.1021
"92","Город Санкт-Петербург город федерального значения",40,"2007",1.1322
"93","Еврейская автономная область",99,"2007",1.1165
"94","Забайкальский край",76,"2007",1.1092
"95","Ивановская область",24,"2007",1.1477
"96","Иркутская область",25,"2007",1.1218
"97","Кабардино-Балкарская Республика",83,"2007",1.1223
"98","Калининградская область",27,"2007",1.1122
"99","Калужская область",29,"2007",1.1352
"100","Камчатский край",30,"2007",1.1006
"101","Карачаево-Черкесская Республика",91,"2007",1.1486
"102","Кемеровская область - Кузбасс",32,"2007",1.0984
"103","Кировская область",33,"2007",1.1278
"104","Костромская область",34,"2007",1.1306
"105","Краснодарский край",3,"2007",1.113
"106","Красноярский край",4,"2007",1.0916
"107","Курганская область",37,"2007",1.1226
"108","Курская область",38,"2007",1.1587
"109","Ленинградская область",41,"2007",1.1281
"110","Липецкая область",42,"2007",1.1357
"111","Магаданская область",44,"2007",1.133
"112","Московская область",46,"2007",1.133
"113","Мурманская область",47,"2007",1.1246
"114","Нижегородская область",22,"2007",1.1609
"115","Новгородская область",49,"2007",1.117
"116","Новосибирская область",50,"2007",1.1155
"117","Омская область",52,"2007",1.115
"118","Оренбургская область",53,"2007",1.1182
"119","Орловская область",54,"2007",1.1131
"120","Пензенская область",56,"2007",1.1391
"121","Пермский край",57,"2007",1.1636
"122","Приморский край",5,"2007",1.097
"123","Псковская область",58,"2007",1.1247
"124","Республика Адыгея (Адыгея)",79,"2007",1.1131
"125","Республика Алтай",84,"2007",1.1131
"126","Республика Башкортостан",80,"2007",1.1256
"127","Республика Бурятия",81,"2007",1.0919
"128","Республика Дагестан",82,"2007",1.1447
