"","region","oktmo","year","index"
"1","Алтайский край",1,"2006",0.607212484518723
"2","Амурская область",10,"2006",0.79858386196496
"3","Архангельская область",11,"2006",0.716774997623274
"4","Астраханская область",12,"2006",0.613731876649871
"5","Белгородская область",14,"2006",0.591895950189031
"6","Брянская область",15,"2006",0.575270588633649
"7","Владимирская область",17,"2006",0.610220833664339
"8","Волгоградская область",18,"2006",0.620438802234253
"9","Вологодская область",19,"2006",0.667841789485885
"10","Воронежская область",20,"2006",0.637932808326485
"11","Город Москва столица Российской Федерации город федерального значения",45,"2006",1
"12","Город Санкт-Петербург город федерального значения",40,"2006",0.716614812798637
"13","Еврейская автономная область",99,"2006",0.75379722684906
"14","Забайкальский край",76,"2006",0.643898716307466
"15","Ивановская область",24,"2006",0.613475320467323
"16","Иркутская область",25,"2006",0.662219692835831
"17","Кабардино-Балкарская Республика",83,"2006",0.559382337734726
"18","Калининградская область",27,"2006",0.732121485212857
"19","Калужская область",29,"2006",0.624285842656828
"20","Камчатский край",30,"2006",1.20602242848008
"21","Карачаево-Черкесская Республика",91,"2006",0.578820701088606
"22","Кемеровская область - Кузбасс",32,"2006",0.596701494928132
"23","Кировская область",33,"2006",0.625280811811482
"24","Костромская область",34,"2006",0.56512164279305
"25","Краснодарский край",3,"2006",0.650162854571714
"26","Красноярский край",4,"2006",0.729109229120299
"27","Курганская область",37,"2006",0.604161158956741
"28","Курская область",38,"2006",0.597416466218583
"29","Ленинградская область",41,"2006",0.68911251095573
"30","Липецкая область",42,"2006",0.590942655135096
"31","Магаданская область",44,"2006",0.936898899933973
"32","Московская область",46,"2006",0.712628424601784
"33","Мурманская область",47,"2006",0.906775036692743
"34","Нижегородская область",22,"2006",0.65275185807885
"35","Новгородская область",49,"2006",0.624947419005734
"36","Новосибирская область",50,"2006",0.681375453694214
"37","Омская область",52,"2006",0.577022203179473
"38","Оренбургская область",53,"2006",0.565033085329024
"39","Орловская область",54,"2006",0.545668953967049
"40","Пензенская область",56,"2006",0.589191040589272
"41","Пермский край",57,"2006",0.675072245960542
"42","Приморский край",5,"2006",0.848875385322642
"43","Псковская область",58,"2006",0.598806037014415
"44","Республика Адыгея (Адыгея)",79,"2006",0.659806501941101
"45","Республика Алтай",84,"2006",0.652671114508708
"46","Республика Башкортостан",80,"2006",0.575576632810801
"47","Республика Бурятия",81,"2006",0.734213004142666
"48","Республика Дагестан",82,"2006",0.565797544614078
"49","Республика Ингушетия",26,"2006",0.614548428560824
"50","Республика Калмыкия",85,"2006",0.584243543444599
"51","Республика Карелия",86,"2006",0.662825269611897
"52","Республика Коми",87,"2006",0.781998872194649
"53","Республика Марий Эл",88,"2006",0.536612650954662
"54","Республика Мордовия",89,"2006",0.576980529078755
"55","Республика Саха (Якутия)",98,"2006",0.987633210611789
"56","Республика Северная Осетия-Алания",90,"2006",0.552154485891363
"57","Республика Татарстан (Татарстан)",92,"2006",0.563834954933367
"58","Республика Тыва",93,"2006",0.658383070938436
"59","Республика Хакасия",95,"2006",0.650423317701204
"60","Ростовская область",60,"2006",0.635720174041463
"61","Рязанская область",61,"2006",0.610069765049234
"62","Самарская область",36,"2006",0.734301561606693
"63","Саратовская область",63,"2006",0.590288892680074
"64","Сахалинская область",64,"2006",1.08849234824441
"65","Свердловская область",65,"2006",0.650976801851372
"66","Смоленская область",66,"2006",0.578123962217218
"67","Ставропольский край",7,"2006",0.667590442565926
"68","Тамбовская область",68,"2006",0.593217800571196
"69","Тверская область",28,"2006",0.633497121231261
"70","Томская область",69,"2006",0.715855562776172
"71","Тульская область",70,"2006",0.591838648300543
"72","Тюменская область",71,"2006",0.857610016370108
"73","Удмуртская Республика",94,"2006",0.56892570679926
"74","Ульяновская область",73,"2006",0.581362821232433
"75","Хабаровский край",8,"2006",0.903960732578598
"76","Челябинская область",75,"2006",0.611258779235358
"77","Чеченская Республика",96,"2006",0.609128190836126
"78","Чувашская Республика - Чувашия",97,"2006",0.537280738881806
"79","Чукотский автономный округ",77,"2006",1.48780576743508
"80","Ярославская область",78,"2006",0.621272284248623
"81","Алтайский край",1,"2007",0.617750588017194
"82","Амурская область",10,"2007",0.790997253988668
"83","Архангельская область",11,"2007",0.774331166649287
"84","Астраханская область",12,"2007",0.636053854264428
"85","Белгородская область",14,"2007",0.606475720393479
"86","Брянская область",15,"2007",0.600877101509727
"87","Владимирская область",17,"2007",0.658469185581703
"88","Волгоградская область",18,"2007",0.653562283476427
"89","Вологодская область",19,"2007",0.708744366042152
"90","Воронежская область",20,"2007",0.671293174365926
"91","Город Москва столица Российской Федерации город федерального значения",45,"2007",1
"92","Город Санкт-Петербург город федерального значения",40,"2007",0.753900610610958
"93","Еврейская автономная область",99,"2007",0.77363829121624
"94","Забайкальский край",76,"2007",0.663931083226158
"95","Ивановская область",24,"2007",0.638667778975054
"96","Иркутская область",25,"2007",0.683273662622962
"97","Кабардино-Балкарская Республика",83,"2007",0.572039347909208
"98","Калининградская область",27,"2007",0.754061663596232
"99","Калужская область",29,"2007",0.64191201177193
"100","Камчатский край",30,"2007",1.15468965437334
"101","Карачаево-Черкесская Республика",91,"2007",0.581225161342649
"102","Кемеровская область - Кузбасс",32,"2007",0.608184735884691
"103","Кировская область",33,"2007",0.635732906948451
"104","Костромская область",34,"2007",0.590716859582653
"105","Краснодарский край",3,"2007",0.664554439384986
"106","Красноярский край",4,"2007",0.74220862734193
"107","Курганская область",37,"2007",0.622869523908837
"108","Курская область",38,"2007",0.628150671440323
"109","Ленинградская область",41,"2007",0.7040355938684
"110","Липецкая область",42,"2007",0.620100339485789
"111","Магаданская область",44,"2007",0.956524963212717
"112","Московская область",46,"2007",0.753031619683224
"113","Мурманская область",47,"2007",0.902600020855782
"114","Нижегородская область",22,"2007",0.685119399353471
"115","Новгородская область",49,"2007",0.673287218881435
"116","Новосибирская область",50,"2007",0.700224778986641
"117","Омская область",52,"2007",0.617502635939147
"118","Оренбургская область",53,"2007",0.587941881886753
"119","Орловская область",54,"2007",0.560171249145492
"120","Пензенская область",56,"2007",0.611475314864379
"121","Пермский край",57,"2007",0.714636124532193
"122","Приморский край",5,"2007",0.862152548460727
"123","Псковская область",58,"2007",0.62617516539794
"124","Республика Адыгея (Адыгея)",79,"2007",0.644283777677361
"125","Республика Алтай",84,"2007",0.688698483321167
"126","Республика Башкортостан",80,"2007",0.602495741944454
"127","Республика Бурятия",81,"2007",0.729060215278019
"128","Республика Дагестан",82,"2007",0.5961868678091
"129","Республика Ингушетия",26,"2007",0.608808092043519
"130","Республика Калмыкия",85,"2007",0.590249921790816
"131","Республика Карелия",86,"2007",0.690806075984567
"132","Республика Коми",87,"2007",0.801992885860938
"133","Республика Марий Эл",88,"2007",0.565521915951197
"134","Республика Мордовия",89,"2007",0.592256711506599
"135","Республика Саха (Якутия)",98,"2007",0.989713464724762
"136","Республика Северная Осетия-Алания",90,"2007",0.553141691867403
"137","Республика Татарстан (Татарстан)",92,"2007",0.591507061999606
"138","Республика Тыва",93,"2007",0.663277602048501
"139","Республика Хакасия",95,"2007",0.662610217016001
"140","Ростовская область",60,"2007",0.664692319278853
"141","Рязанская область",61,"2007",0.663980905372681
"142","Самарская область",36,"2007",0.749184886509785
"143","Саратовская область",63,"2007",0.604287021910158
"144","Сахалинская область",64,"2007",1.07424542621108
"145","Свердловская область",65,"2007",0.688060064652925
"146","Смоленская область",66,"2007",0.606859235056253
"147","Ставропольский край",7,"2007",0.672200400894481
"148","Тамбовская область",68,"2007",0.603979978449025
"149","Тверская область",28,"2007",0.672999872547997
"150","Томская область",69,"2007",0.733892963490794
"151","Тульская область",70,"2007",0.619122435028445
"152","Тюменская область",71,"2007",0.862061014749673
"153","Удмуртская Республика",94,"2007",0.584061547730775
"154","Ульяновская область",73,"2007",0.607834822204456
"155","Хабаровский край",8,"2007",0.906005306637932
"156","Челябинская область",75,"2007",0.631389110964348
"157","Чеченская Республика",96,"2007",0.627379007496495
"158","Чувашская Республика - Чувашия",97,"2007",0.577074860671788
"159","Чукотский автономный округ",77,"2007",1.42210017727415
"160","Ярославская область",78,"2007",0.639314308225289
"161","Алтайский край",1,"2008",0.611551160813763
"162","Амурская область",10,"2008",0.77862932670872
"163","Архангельская область",11,"2008",0.770895307893168
"164","Астраханская область",12,"2008",0.62370316805317
"165","Белгородская область",14,"2008",0.604737302345799
"166","Брянская область",15,"2008",0.604531129552686
"167","Владимирская область",17,"2008",0.682769134206301
"168","Волгоградская область",18,"2008",0.646206471388193
"169","Вологодская область",19,"2008",0.71840046475207
"170","Воронежская область",20,"2008",0.672105024217686
"171","Город Москва столица Российской Федерации город федерального значения",45,"2008",1
"172","Город Санкт-Петербург город федерального значения",40,"2008",0.770183351597738
"173","Еврейская автономная область",99,"2008",0.798429024254249
"174","Забайкальский край",76,"2008",0.655594950696265
"175","Ивановская область",24,"2008",0.64389489859447
"176","Иркутская область",25,"2008",0.687668531023927
"177","Кабардино-Балкарская Республика",83,"2008",0.587349724916744
"178","Калининградская область",27,"2008",0.772776253769255
"179","Калужская область",29,"2008",0.639899412052069
"180","Камчатский край",30,"2008",1.20379520440052
"181","Карачаево-Черкесская Республика",91,"2008",0.598299226801244
"182","Кемеровская область - Кузбасс",32,"2008",0.597319144311815
"183","Кировская область",33,"2008",0.63297891248422
"184","Костромская область",34,"2008",0.60563207195532
"185","Краснодарский край",3,"2008",0.673377608009661
"186","Красноярский край",4,"2008",0.742719713673725
"187","Курганская область",37,"2008",0.625927396707938
"188","Курская область",38,"2008",0.648622654022756
"189","Ленинградская область",41,"2008",0.709130814098156
"190","Липецкая область",42,"2008",0.637931122037028
"191","Магаданская область",44,"2008",0.991263554845518
"192","Московская область",46,"2008",0.756818682708196
"193","Мурманская область",47,"2008",0.912007889410132
"194","Нижегородская область",22,"2008",0.691227296871556
"195","Новгородская область",49,"2008",0.675439335940793
"196","Новосибирская область",50,"2008",0.704739232041893
